id,sku,price
5.68E+13,KD27766,1.49
5.68E+13,TY2,12.99
5.68E+13,KD04986,2.69
5.68E+13,KD04932,1.69
5.68E+13,KD04933,3.29
5.68E+13,KD04931,3.99
5.68E+13,KD05015,2.19
5.68E+13,KD05014,1.59
5.68E+13,KD05012,2.19
5.68E+13,KD05013,2.19
5.68E+13,KD04959,1.75
5.68E+13,KD04960,2.49
5.68E+13,KD31783,7.79
5.68E+13,P2093,1.75
5.68E+13,KD00738,1.09
5.68E+13,KD12090,1.75
5.68E+13,KD31669,1.69
5.68E+13,KD00718,0.95
5.68E+13,KD04968,5.39
5.68E+13,KD31761,0.99
5.68E+13,KD31763,2.29
5.68E+13,KD31762,1.25
5.68E+13,TY8030,0.7
5.68E+13,T7104,0.69
5.68E+13,TY4846,0.39
5.68E+13,KD12087,1.75
5.68E+13,KD00712,4.59
5.68E+13,KD00760,0.88
5.68E+13,KD00739,1.19
5.68E+13,KD04998,2.5
5.68E+13,KD29957,3.15
5.68E+13,KD12701,1.62
5.68E+13,KD22716,0.99
5.68E+13,KD18265,2.15
5.68E+13,KD05002,3.59
5.68E+13,KD00782,0.75
5.68E+13,KD33482,1.69
5.68E+13,KD29666,2.39
5.68E+13,KD13564,0.79
5.68E+13,TY9136,1.05
5.68E+13,KD12082,0.65
5.68E+13,KD00783,0.82
5.68E+13,KD19575,0.89
5.68E+13,KD00779,0.82
5.68E+13,KD04991,2.57
5.68E+13,KD22483,1.99
5.68E+13,KD20392,2.89
5.68E+13,KD30256,1.49
5.68E+13,KD30257,1.69
5.68E+13,KD30942,0.89
5.68E+13,KD29775,1.59
5.68E+13,KD31810,1.09
5.68E+13,TA8008,0.92
5.68E+13,T6366,0.69
5.68E+13,KD00714,2.39
5.68E+13,KD05008,2.79
5.68E+13,KD05009,2.29
5.68E+13,KD15517,3.49
5.68E+13,KD15516,3.49
5.68E+13,KD32503,1.59
5.68E+13,T6126,0.95
5.68E+13,KD33480,3.49
5.68E+13,KD31232,3.49
5.68E+13,5350,0.69
5.68E+13,TY7244,0.63
5.68E+13,6015,0.69
5.68E+13,TA1001,0.7
5.68E+13,KD19740,1.75
5.68E+13,KD17475,6.99
5.68E+13,KD20017,2.25
5.68E+13,KD11013,0.69
5.68E+13,4250,0.69
5.68E+13,T5635,0.7
5.68E+13,KD13671,0.55
5.68E+13,KD13674,0.85
5.68E+13,TA5782,0.62
5.68E+13,KD31740,2.29
5.68E+13,KD31735,1.49
5.68E+13,KD32385,0.99
5.68E+13,KD30199,2.59
5.68E+13,KD29478,2.79
5.68E+13,TA5756,0.62
5.68E+13,TA5755,0.62
5.68E+13,KD19952,1.49
5.68E+13,TY1652,0.77
5.68E+13,KD33476,1.19
5.68E+13,TY6547,1.05
5.68E+13,KD00707,3.12
5.68E+13,TA5784,0.7
5.68E+13,KD00774,1.99
5.68E+13,KD10568,2.06
5.68E+13,KD10505,0.77
5.68E+13,KD29909,4.49
5.68E+13,KD29912,4.69
5.68E+13,KD29913,5.59
5.68E+13,KD29917,5.59
5.68E+13,KD29914,7.29
5.68E+13,KD29915,6.99
5.68E+13,KD31813,0.99
5.68E+13,KD24797,0.69
5.68E+13,KD29910,3.99
5.68E+13,KD03860,0.62
5.68E+13,KD03865,15.49
5.68E+13,KD30691,0.69
5.68E+13,KD30692,0.79
5.68E+13,KD30694,0.69
5.68E+13,KD03866,0.99
5.68E+13,KD03867,0.89
5.68E+13,KD32195,0.99
5.68E+13,KD24818,1.49
5.68E+13,KD03856,0.99
5.68E+13,KD03854,0.69
5.68E+13,KD03853,0.62
5.68E+13,KD03855,0.75
5.68E+13,KD29886,1.99
5.68E+13,KD29884,1.75
5.68E+13,KD30680,0.85
5.68E+13,KD30683,0.85
5.68E+13,KD30684,0.85
